model,dataset,metric,pearson,pearson_p,spearman,spearman_p,valid_pairs,total_pairs
all-mpnet-base-v2,WordSim353,cosine,0.742211070092215,5.591336506019105e-63,0.735830792778517,2.1628923402071402e-61,353,353
all-mpnet-base-v2,SimLex999,cosine,0.4772639764974431,5.7666191978447725e-58,0.442528565604523,3.717703020155209e-49,999,999
all-mpnet-base-v2,MC30,cosine,0.7796812147755376,3.8121358333498966e-07,0.7984867475042733,1.2395777445769378e-07,30,30
all-mpnet-base-v2,MEN,cosine,0.7694765595395573,0.0,0.7879732396123875,0.0,3000,3000
all-mpnet-base-v2,MTurk,cosine,0.6736603069597209,4.3239374357606346e-103,0.6856034568541068,3.88853414578759e-108,771,771
all-mpnet-base-v2,WordSim353,adjusted_cosine,0.7423548474239007,5.142811384764034e-63,0.7359445618279818,2.0282982435248855e-61,353,353
all-mpnet-base-v2,SimLex999,adjusted_cosine,0.4772424147236052,5.8440052949117405e-58,0.4426386980886361,3.498817736370536e-49,999,999
all-mpnet-base-v2,MC30,adjusted_cosine,0.7801241150235937,3.717272097181316e-07,0.7984867475042733,1.2395777445769378e-07,30,30
all-mpnet-base-v2,MEN,adjusted_cosine,0.7694774206800364,0.0,0.787988797676885,0.0,3000,3000
all-mpnet-base-v2,MTurk,adjusted_cosine,0.6736658510179612,4.301224452491522e-103,0.6855466170989974,4.1150721089686956e-108,771,771
all-mpnet-base-v2,WordSim353,sqrt_cosine_similarity,0.6890988069771943,4.9892688000915557e-51,0.6661484321572693,1.2538770966694992e-46,353,353
all-mpnet-base-v2,SimLex999,sqrt_cosine_similarity,0.4236832407556849,8.70314707184966e-45,0.40409239328103064,1.5748858678573614e-40,999,999
all-mpnet-base-v2,MC30,sqrt_cosine_similarity,0.8172328029015371,3.577015550386135e-08,0.8131746308195693,4.73603022471452e-08,30,30
all-mpnet-base-v2,MEN,sqrt_cosine_similarity,0.7033036244884167,0.0,0.7163608293129603,0.0,3000,3000
all-mpnet-base-v2,MTurk,sqrt_cosine_similarity,0.6103014847015569,7.30075951775191e-80,0.6066380751010817,1.1170776278967675e-78,771,771
all-mpnet-base-v2,WordSim353,isc_similarity,0.7428319432868756,3.89513690014779e-63,0.7369927792975077,1.1203737803617002e-61,353,353
all-mpnet-base-v2,SimLex999,isc_similarity,0.4763546661683752,1.0109088672321731e-57,0.4408220976666269,9.492402270794253e-49,999,999
all-mpnet-base-v2,MC30,isc_similarity,0.7818500864834439,3.3677270012767673e-07,0.8020474464897996,9.889120037797139e-08,30,30
all-mpnet-base-v2,MEN,isc_similarity,0.7688161951740179,0.0,0.7873795538360154,0.0,3000,3000
